frame, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.97228,  1, 0.732231, 0.0195007, 0, 0, 0, 0.359785, 0, 0, 0.01567, 0, 0, 0, 0.325128, 0, 0.259729, 0, 0.366186, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0
2,  0.05,  0.973507,  1, 0.722116, 0.0444469, 0, 0, 0, 0.387907, 0.00680429, 0, 0.159197, 0.0940782, 0, 0, 0.350539, 0, 0.201811, 0, 0.373358, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
3,  0.1,  0.973723,  1, 0.704283, 0.125978, 0, 0, 0, 0.367906, 0.00680429, 0, 0.311326, 0.102555, 0, 0, 0.302993, 0, 0.168919, 0, 0.379437, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
4,  0.15,  0.971846,  1, 0.744686, 0.125978, 0, 0, 0, 0.303311, 0, 0, 0.366087, 0.0690581, 0, 0, 0.191478, 0, 0.188622, 0, 0.404102, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
5,  0.2,  0.976574,  1, 0.706571, 0.143056, 0, 0, 0, 0.253072, 0, 0, 0.434726, 0.0585606, 0, 0, 0.123131, 0, 0.198932, 0, 0.370423, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
6,  0.25,  0.971581,  1, 0.625049, 0.126124, 0, 0, 0, 0.3141, 0, 0, 0.410025, 0.166339, 0, 0, 0.0623006, 0, 0.200256, 0, 0.423002, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1
7,  0.3,  0.971248,  1, 0.553027, 0.127987, 0, 0, 0, 0.396071, 0, 0, 0.394781, 0.175202, 0, 0, 0.116742, 0, 0.156626, 0, 0.410131, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1
8,  0.35,  0.97303,  1, 0.568563, 0.0976167, 0, 0, 0, 0.431765, 0, 0, 0.375343, 0.188455, 0, 0, 0.183877, 0, 0.196026, 0, 0.414219, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1
9,  0.4,  0.972355,  1, 0.707715, 0.219919, 0, 0, 0, 0.334347, 0, 0, 0.361386, 0.193909, 0, 0, 0.228621, 0, 0.240772, 0, 0.391524, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
10,  0.45,  0.978253,  1, 0.619782, 0.241707, 0, 0, 0, 0.423116, 0, 0, 0.407114, 0.206318, 0, 0, 0.212165, 0, 0.222405, 0, 0.38344, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0
