frame, timestamp, confidence, success, AU01_r, AU02_r, AU04_r, AU05_r, AU06_r, AU07_r, AU09_r, AU10_r, AU12_r, AU14_r, AU15_r, AU17_r, AU20_r, AU23_r, AU25_r, AU26_r, AU45_r, AU01_c, AU02_c, AU04_c, AU05_c, AU06_c, AU07_c, AU09_c, AU10_c, AU12_c, AU14_c, AU15_c, AU17_c, AU20_c, AU23_c, AU25_c, AU26_c, AU28_c, AU45_c
1,  0,  0.968985,  1, 0, 0, 0, 0, 0.331306, 0.224361, 0, 0, 0, 0, 0.503214, 1.91008, 0.745392, 0.614109, 0.673456, 1.45014, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0
2,  0.0401821,  0.970412,  1, 0, 0, 0.00888563, 0.135258, 0.376542, 0.131257, 0, 0, 0, 0, 0.45341, 1.50469, 0.60523, 0.48417, 0.448184, 1.23625, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
3,  0.0803643,  0.971372,  1, 0, 0, 0.100099, 0.135398, 0.396247, 0.0564697, 0, 0, 0, 0, 0.477032, 1.3775, 0.525097, 0.404081, 0.413371, 1.18558, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
4,  0.120546,  0.970661,  1, 0, 0, 0.203766, 0.135398, 0.395986, 0.0564697, 0, 0, 0, 0, 0.485638, 1.49651, 0.5226, 0.377967, 0.533502, 1.33325, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0
5,  0.160729,  0.971028,  1, 0, 0, 0.237162, 0.000140391, 0.403606, 0, 0, 0, 0, 0, 0.462943, 1.35563, 0.451095, 0.404079, 0.560472, 1.37665, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0
6,  0.200911,  0.971139,  1, 0, 0, 0.145948, 0.0391959, 0.426486, 0, 0, 0, 0, 0, 0.379299, 1.42007, 0.514596, 0.455446, 0.57669, 1.35955, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0
7,  0.241093,  0.971479,  1, 0, 0, 0.122405, 0.0742572, 0.495332, 0, 0, 0, 0, 0, 0.321425, 1.47589, 0.532288, 0.481078, 0.61354, 1.23325, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0
8,  0.281275,  0.970027,  1, 0, 0, 0.19134, 0.126556, 0.555642, 0.0302267, 0, 0, 0.0184716, 0, 0.225269, 1.80746, 0.604156, 0.531569, 0.625466, 1.26956, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0
9,  0.321457,  0.968557,  1, 0, 0.0299156, 0.19134, 0.189504, 0.581008, 0.0302267, 0, 0, 0.0184716, 0, 0.274035, 1.84424, 0.503604, 0.56841, 0.554814, 1.36143, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0
10,  0.361639,  0.971242,  1, 0, 0.0299156, 0.114886, 0.210282, 0.561933, 0.0302267, 0, 0, 0.0184716, 0, 0.255164, 1.91253, 0.445421, 0.629153, 0.499251, 1.49335, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0
